Var1,Var2,Var3,Var4,Var5
E,C001,WT,4.895102e-10,984410100
E,C001,TC,5.282602e-10,877563800
E,C002,WT,7.603046e-10,550386500
E,C002,TC,6.647657e-10,678608700
E,C006,WT,7.5969e-10,890018480
E,C006,TC,6.5382e-10,815145500
E,C011,WT,8.373e-10,776372125
E,C011,TC,6.5761e-10,770241720
E,C012,WT,6.299331e-10,772746800
E,C012,TC,7.83104e-10,641598800
E,C021,WT,6.8524e-10,951797835
E,C021,TC,6.838666e-10,656675000
E,C022,WT,3.785935e-10,1039553000
E,C022,TC,4.154067e-10,1013229000
E,C031,WT,5.3038e-10,1049748250
E,C031,TC,5.0532e-10,989976790
E,C051,WT,6.6104e-10,919455570
E,C051,TC,7.311e-10,869367480
E,C063,WT,5.6603e-10,1071282240
E,C063,TC,7.3678e-10,847214190
E,C094,WT,7.2481e-10,506376720
E,C094,TC,7.2481e-10,648293760
E,C107,WT,5.199561e-10,804227200
E,C107,TC,4.751964e-10,801586500
E,C115,WT,6.8305e-10,852762400
E,C115,TC,7.711e-10,793248600
E,C131,WT,6.5152e-10,658875870
E,C131,TC,8.3564e-10,749981880
E,C141,WT,6.3219e-10,910625085
E,C141,TC,6.9975e-10,852787560
E,C201,WT,4.9077e-10,1121715175
E,C201,TC,5.5499e-10,1040166000
E,C227,WT,6.089e-10,829839885
E,C227,TC,6.3663e-10,864736125
E,C232,WT,6.6554e-10,896279000
E,C232,TC,6.9385e-10,624968240
E,C247,WT,6.0797e-10,981178440
E,C247,TC,6.2002e-10,942350750
E,C261,WT,5.0329e-10,1023899110
E,C261,TC,5.2962e-10,913294200
E,C286,WT,5.5458e-10,1020861240
E,C286,TC,4.8972e-10,838648200
E,C290,WT,6.1482e-10,973553775
E,C290,TC,6.6188e-10,988554642.5
E,C302,WT,5.4432e-10,963507440
E,C302,TC,5.1857e-10,909351360
E,C309,WT,6.0095e-10,1008177000
E,C309,TC,4.8077e-10,976793400
E,C324,WT,6.7839e-10,923683310
E,C324,TC,5.4654e-10,1003583625
K,K037,WT,4.841e-10,874624680
K,K037,TC,3.6522e-10,867332600
K,K038,WT,6.6376e-10,790525320
K,K038,TC,6.3517e-10,795186480
K,K087,WT,4.8019e-10,963921625
K,K087,TC,3.6856e-10,997483205
K,K094,WT,4.8438e-10,928785250
K,K094,TC,4.3034e-10,893634640
K,K112,WT,5.151e-10,930268430
K,K112,TC,5.1549e-10,851305095
K,K114,WT,5.2395e-10,895220040
K,K114,TC,5.6644e-10,774183375
K,K125,WT,4.498042e-10,868235300
K,K125,TC,3.785235e-10,945803600
K,K141,WT,7.1628e-10,821104625
K,K141,TC,4.3344e-10,718807230
K,K168,WT,6.2074e-10,806377220
K,K168,TC,7.3018e-10,777162300
K,K177,WT,4.833031e-10,799000500
K,K177,TC,4.467049e-10,796717300
K,K200,WT,5.3796e-10,971040840
K,K200,TC,5.6197e-10,849012300
K,K201,WT,5.6197e-10,849012300
K,K201,TC,5.6197e-10,849012300
K,K209,WT,7.0856e-10,919480800
K,K209,TC,7.3637e-10,720565340
K,K213,WT,4.162258e-10,899412800
K,K213,TC,5.828029e-10,730585600
K,K216,WT,6.2432e-10,885352000
K,K216,TC,7.4885e-10,891693375
K,K224,WT,5.3863e-10,852339750
K,K224,TC,4.3589e-10,846491600
K,K225,WT,4.1444e-10,1037138630
K,K225,TC,4.0016e-10,978606100
K,K241,WT,6.905633e-10,717336800
K,K241,TC,4.977077e-10,995420300
K,K248,WT,5.5776e-10,831874350
K,K248,TC,6.0832e-10,773936415
K,K249,WT,4.8568e-10,1022394100
K,K249,TC,4.2872e-10,1046281860
K,K253,WT,4.6738e-10,1077144250
K,K253,TC,5.4865e-10,994807880
K,K257,WT,4.7079e-10,1006026970
K,K257,TC,5.2244e-10,1006425550
K,K275,WT,7.8967e-10,670852800
K,K275,TC,7.2013e-10,632808100
K,K285,WT,5.736139e-10,756823200
K,K285,TC,8.669643e-10,660056000
K,K300,WT,4.8727e-10,962971440
K,K300,TC,4.2552e-10,989556360
