t,OD600,ste
0,0.095833,0.00075277
0.16667,0.096167,0.001169
0.33333,0.096167,0.001169
0.5,0.097333,0.0012111
0.66667,0.099167,0.001169
0.83333,0.10067,0.0010328
1,0.1035,0.0016432
1.1667,0.10817,0.0019408
1.3333,0.1135,0.002429
1.5,0.1215,0.0032711
1.6667,0.131,0.0034641
1.8333,0.14183,0.0043551
2,0.15417,0.0056716
2.1667,0.1705,0.006921
2.3333,0.19083,0.0098877
2.5,0.21567,0.010764
2.6667,0.2395,0.013111
2.8333,0.2655,0.015294
3,0.2945,0.017953
3.1667,0.31833,0.015933
3.3333,0.342,0.012198
3.5,0.364,0.0098995
3.6667,0.385,0.00998
3.8333,0.40183,0.0083287
4,0.41583,0.0083526
4.1667,0.42883,0.0091742
4.3333,0.43983,0.010028
4.5,0.44983,0.010342
4.6667,0.45767,0.010875
4.8333,0.46467,0.011057
5,0.47117,0.010515
5.1667,0.47717,0.010685
5.3333,0.48183,0.010926
5.5,0.48783,0.012057
5.6667,0.4935,0.013187
5.8333,0.49817,0.014689
6,0.50267,0.015983
6.1667,0.5075,0.016183
6.3333,0.5125,0.018185
6.5,0.51717,0.019083
6.6667,0.523,0.01999
6.8333,0.52833,0.022358
7,0.53433,0.024744
7.1667,0.53817,0.023978
7.3333,0.5445,0.026779
7.5,0.5505,0.026861
7.6667,0.55633,0.027761
7.8333,0.56117,0.028875
8,0.56683,0.030162
8.1667,0.57183,0.030903
8.3333,0.5775,0.031513
8.5,0.58383,0.032456
8.6667,0.58817,0.033211
8.8333,0.5945,0.03532
9,0.59917,0.035521
9.1667,0.6045,0.035201
9.3333,0.6095,0.036484
9.5,0.61633,0.038302
9.6667,0.62,0.038215
9.8333,0.62533,0.040342
10,0.63117,0.042083
10.167,0.6365,0.043468
10.333,0.64167,0.043624
10.5,0.64633,0.043427
10.667,0.6515,0.045479
10.833,0.65617,0.046002
11,0.6615,0.048011
11.167,0.66667,0.048907
11.333,0.67167,0.051593
11.5,0.67633,0.051267
11.667,0.68033,0.051617
11.833,0.68517,0.053637
12,0.6905,0.055077
12.167,0.69483,0.055783
12.333,0.70033,0.057106
12.5,0.70483,0.058554
12.667,0.70833,0.05881
12.833,0.713,0.061018
13,0.71767,0.06103
13.167,0.724,0.062498
13.333,0.7285,0.062657
13.5,0.73217,0.06402
13.667,0.73583,0.064725
13.833,0.74033,0.06497
14,0.7455,0.067642
14.167,0.749,0.06684
14.333,0.75317,0.068042
14.5,0.7575,0.069082
14.667,0.76217,0.069425
14.833,0.7665,0.071254
15,0.77033,0.073244
15.167,0.774,0.073653
15.333,0.77833,0.074699
15.5,0.783,0.074929
15.667,0.78633,0.075669
15.833,0.7895,0.075559
16,0.79267,0.076112
16.167,0.79667,0.07851
16.333,0.79983,0.079801
16.5,0.8035,0.080562
16.667,0.80633,0.080495
16.833,0.80983,0.080641
17,0.81217,0.081027
17.167,0.81433,0.080199
17.333,0.81833,0.081527
17.5,0.821,0.081699
17.667,0.82333,0.083713
17.833,0.826,0.083582
18,0.828,0.083785
18.167,0.83083,0.083406
18.333,0.8335,0.083978
18.5,0.83667,0.083246
18.667,0.83883,0.084232
18.833,0.8405,0.084666
19,0.8425,0.086442
19.167,0.84417,0.087227
19.333,0.84617,0.087782
19.5,0.84767,0.087931
19.667,0.84917,0.08789
19.833,0.85067,0.087726
20,0.85217,0.088513
20.167,0.854,0.089333
20.333,0.85533,0.088937
20.5,0.85767,0.089511
20.667,0.859,0.089575
20.833,0.85967,0.089926
21,0.86117,0.08983
21.167,0.86233,0.090787
21.333,0.86333,0.091229
21.5,0.864,0.091904
21.667,0.8655,0.092108
21.833,0.86683,0.093457
22,0.86717,0.094436
22.167,0.86867,0.094214
22.333,0.86983,0.09443
22.5,0.87033,0.095024
22.667,0.87067,0.094956
22.833,0.87117,0.09484
23,0.87183,0.095569
23.167,0.87217,0.09645
23.333,0.8725,0.096897
23.5,0.87417,0.09819
23.667,0.87483,0.098292
23.833,0.87517,0.097862
