t,OD600,ste
0,0.09525,0.0005
0.16667,0.09575,0.00095743
0.33333,0.096,0.0008165
0.5,0.09725,0.0005
0.66667,0.0985,0.00057735
0.83333,0.101,0
1,0.10425,0.0005
1.1667,0.10925,0.0005
1.3333,0.116,0.0008165
1.5,0.12625,0.0017078
1.6667,0.13825,0.0025
1.8333,0.15025,0.0020616
2,0.16775,0.003304
2.1667,0.1865,0.0047958
2.3333,0.20725,0.0053774
2.5,0.23075,0.004717
2.6667,0.258,0.0049666
2.8333,0.286,0.004899
3,0.31675,0.0084212
3.1667,0.34825,0.0078049
3.3333,0.37125,0.0045735
3.5,0.38925,0.0051235
3.6667,0.401,0.0053541
3.8333,0.412,0.0054772
4,0.41875,0.0040311
4.1667,0.4255,0.0044347
4.3333,0.429,0.0038297
4.5,0.43275,0.0028723
4.6667,0.437,0.0023094
4.8333,0.44125,0.0023629
5,0.445,0.0021602
5.1667,0.44925,0.0025
5.3333,0.45375,0.0025
5.5,0.459,0.0039158
5.6667,0.46475,0.0038622
5.8333,0.47,0.0045461
6,0.47525,0.0049917
6.1667,0.481,0.006377
6.3333,0.48625,0.0066521
6.5,0.4915,0.0085049
6.6667,0.49725,0.0093941
6.8333,0.50275,0.0097425
7,0.5095,0.010472
7.1667,0.515,0.012193
7.3333,0.52125,0.012606
7.5,0.5275,0.01382
7.6667,0.53225,0.01537
7.8333,0.53775,0.017896
8,0.544,0.018956
8.1667,0.55025,0.020123
8.3333,0.55675,0.021109
8.5,0.563,0.022286
8.6667,0.56825,0.023599
8.8333,0.57475,0.024473
9,0.58025,0.026145
9.1667,0.5865,0.026464
9.3333,0.591,0.028249
9.5,0.59625,0.029421
9.6667,0.60175,0.029647
9.8333,0.60675,0.031721
10,0.612,0.032873
10.167,0.6175,0.035294
10.333,0.62275,0.037071
10.5,0.62775,0.038982
10.667,0.63275,0.040434
10.833,0.638,0.042222
11,0.64375,0.043737
11.167,0.64925,0.044791
11.333,0.65475,0.045814
11.5,0.659,0.04836
11.667,0.6645,0.049454
11.833,0.66925,0.051019
12,0.674,0.053104
12.167,0.679,0.054412
12.333,0.68375,0.056002
12.5,0.6885,0.05753
12.667,0.69225,0.058306
12.833,0.69725,0.059623
13,0.701,0.061112
13.167,0.70575,0.061991
13.333,0.71,0.06193
13.5,0.714,0.062711
13.667,0.71825,0.063861
13.833,0.72175,0.064267
14,0.7265,0.064423
14.167,0.73,0.064761
14.333,0.7335,0.065679
14.5,0.73675,0.066173
14.667,0.73975,0.06697
14.833,0.74275,0.0683
15,0.746,0.068069
15.167,0.749,0.069441
15.333,0.75175,0.069553
15.5,0.755,0.070697
15.667,0.75775,0.070924
15.833,0.7605,0.071281
16,0.7635,0.071281
16.167,0.7665,0.072611
16.333,0.76925,0.073582
16.5,0.7725,0.073541
16.667,0.77475,0.073196
16.833,0.7775,0.074773
17,0.77975,0.074772
17.167,0.78275,0.074634
17.333,0.785,0.075158
17.5,0.7865,0.074809
17.667,0.7885,0.075651
17.833,0.79125,0.076496
18,0.794,0.076746
18.167,0.79725,0.077358
18.333,0.8,0.077614
18.5,0.80225,0.078104
18.667,0.804,0.078235
18.833,0.80625,0.078725
19,0.80775,0.07924
19.167,0.80975,0.079214
19.333,0.81225,0.079445
19.5,0.81425,0.07958
19.667,0.81625,0.079722
19.833,0.817,0.079704
20,0.81775,0.079374
20.167,0.819,0.080759
20.333,0.82075,0.080272
20.5,0.823,0.080154
20.667,0.823,0.080911
20.833,0.82425,0.081246
21,0.82475,0.081028
21.167,0.82625,0.080641
21.333,0.82775,0.080006
21.5,0.82825,0.080214
21.667,0.8295,0.080272
21.833,0.83075,0.080168
22,0.83125,0.080554
22.167,0.83225,0.079968
22.333,0.83275,0.079964
22.5,0.8335,0.080256
22.667,0.834,0.079871
22.833,0.83475,0.080164
23,0.83625,0.079004
23.167,0.83675,0.079391
23.333,0.83725,0.077659
23.5,0.8365,0.078911
23.667,0.837,0.079099
23.833,0.83725,0.079004
