t,OD600,ste
0,0.09175,0.00095743
0.16667,0.0925,0.001291
0.33333,0.09325,0.0015
0.5,0.0945,0.001291
0.66667,0.09625,0.0015
0.83333,0.09925,0.0015
1,0.10275,0.0015
1.1667,0.10875,0.0015
1.3333,0.11675,0.0022174
1.5,0.12825,0.0027538
1.6667,0.14275,0.003304
1.8333,0.156,0.003559
2,0.1745,0.0047958
2.1667,0.199,0.006377
2.3333,0.225,0.0066833
2.5,0.25075,0.0067515
2.6667,0.274,0.0042426
2.8333,0.284,0.0049666
3,0.29375,0.0084212
3.1667,0.30475,0.014546
3.3333,0.3155,0.019942
3.5,0.3275,0.025981
3.6667,0.3385,0.033211
3.8333,0.35125,0.040003
4,0.364,0.04809
4.1667,0.3755,0.053892
4.3333,0.38725,0.057546
4.5,0.39975,0.058065
4.6667,0.4105,0.058501
4.8333,0.419,0.056326
5,0.42925,0.05399
5.1667,0.4355,0.051984
5.3333,0.443,0.050379
5.5,0.4505,0.051235
5.6667,0.46025,0.053556
5.8333,0.467,0.051374
6,0.4755,0.047592
6.1667,0.48575,0.042161
6.3333,0.49575,0.040492
6.5,0.50525,0.038999
6.6667,0.515,0.038009
6.8333,0.52675,0.036918
7,0.5375,0.033232
7.1667,0.5495,0.02995
7.3333,0.5575,0.028337
7.5,0.565,0.026432
7.6667,0.57075,0.026887
7.8333,0.5775,0.026938
8,0.584,0.026608
8.1667,0.5895,0.025489
8.3333,0.59575,0.02563
8.5,0.603,0.025626
8.6667,0.60875,0.026725
8.8333,0.616,0.026546
9,0.6205,0.026262
9.1667,0.62675,0.0267
9.3333,0.6335,0.027635
9.5,0.64025,0.027801
9.6667,0.646,0.02936
9.8333,0.65175,0.029056
10,0.65875,0.029826
10.167,0.66425,0.030685
10.333,0.67075,0.031858
10.5,0.67775,0.031753
10.667,0.6845,0.033441
10.833,0.69125,0.033659
11,0.69575,0.035892
11.167,0.70225,0.036096
11.333,0.70925,0.035715
11.5,0.716,0.036009
11.667,0.7225,0.036465
11.833,0.72825,0.037482
12,0.73475,0.038733
12.167,0.74,0.039226
12.333,0.74575,0.039778
12.5,0.7525,0.040813
12.667,0.75825,0.041684
12.833,0.76475,0.041556
13,0.77075,0.04261
13.167,0.776,0.042716
13.333,0.78125,0.042735
13.5,0.7875,0.043562
13.667,0.793,0.044174
13.833,0.7985,0.044703
14,0.80425,0.045573
14.167,0.8105,0.045684
14.333,0.8155,0.046105
14.5,0.82125,0.046335
14.667,0.8255,0.047177
14.833,0.83,0.047645
15,0.83525,0.048486
15.167,0.84025,0.049203
15.333,0.846,0.049376
15.5,0.8515,0.049917
15.667,0.85525,0.050215
15.833,0.86,0.051232
16,0.864,0.052688
16.167,0.8685,0.052792
16.333,0.87425,0.053093
16.5,0.87875,0.053637
16.667,0.88325,0.054567
16.833,0.88825,0.055271
17,0.8925,0.055417
17.167,0.89575,0.056269
17.333,0.9,0.057126
17.5,0.9045,0.057437
17.667,0.90925,0.057215
17.833,0.91325,0.058088
18,0.91675,0.0583
18.167,0.92075,0.058705
18.333,0.924,0.059504
18.5,0.92775,0.060229
18.667,0.93175,0.060296
18.833,0.936,0.059983
19,0.94025,0.060786
19.167,0.94375,0.060714
19.333,0.94725,0.061272
19.5,0.95025,0.061076
19.667,0.9535,0.061949
19.833,0.95675,0.062324
20,0.96025,0.062883
20.167,0.96325,0.062883
20.333,0.96625,0.063384
20.5,0.97,0.063702
20.667,0.9725,0.064262
20.833,0.97525,0.063892
21,0.97775,0.064453
21.167,0.981,0.064648
21.333,0.983,0.065853
21.5,0.9855,0.065896
21.667,0.98825,0.066655
21.833,0.99025,0.066219
22,0.99275,0.06678
22.167,0.994,0.067666
22.333,0.995,0.068357
22.5,0.99775,0.068685
22.667,0.9995,0.068918
22.833,1.0012,0.069677
23,1.004,0.070441
23.167,1.0055,0.070567
23.333,1.0075,0.071164
23.5,1.0085,0.071854
23.667,1.0097,0.072219
23.833,1.0112,0.07209
