t,OD600,ste
0,0.1,0.014394
0.16667,0.10717,0.0116
0.33333,0.11067,0.012738
0.5,0.116,0.014
0.66667,0.12383,0.015741
0.83333,0.13283,0.016092
1,0.14517,0.016928
1.1667,0.15917,0.017691
1.3333,0.17583,0.021066
1.5,0.19467,0.022367
1.6667,0.2155,0.02404
1.8333,0.23833,0.02653
2,0.2655,0.03027
2.1667,0.29583,0.031632
2.3333,0.32483,0.028344
2.5,0.34867,0.028076
2.6667,0.37317,0.024178
2.8333,0.39067,0.027223
3,0.40583,0.028089
3.1667,0.415,0.030705
3.3333,0.42033,0.03069
3.5,0.42683,0.031032
3.6667,0.43567,0.028261
3.8333,0.44567,0.026258
4,0.45483,0.024677
4.1667,0.4635,0.022643
4.3333,0.47217,0.021442
4.5,0.48067,0.019541
4.6667,0.4905,0.017919
4.8333,0.501,0.016432
5,0.51183,0.015224
5.1667,0.524,0.012166
5.3333,0.53717,0.0104
5.5,0.55267,0.01069
5.6667,0.56967,0.01093
5.8333,0.58567,0.011431
6,0.601,0.010826
6.1667,0.61767,0.014556
6.3333,0.63283,0.016117
6.5,0.6495,0.018163
6.6667,0.66467,0.020086
6.8333,0.682,0.01998
7,0.6985,0.020137
7.1667,0.71317,0.022675
7.3333,0.73133,0.024897
7.5,0.74617,0.024302
7.6667,0.762,0.025171
7.8333,0.77667,0.024097
8,0.79117,0.024384
8.1667,0.804,0.024795
8.3333,0.81967,0.025453
8.5,0.834,0.024625
8.6667,0.84717,0.024037
8.8333,0.85783,0.024951
9,0.8695,0.024452
9.1667,0.88017,0.024376
9.3333,0.89017,0.022658
9.5,0.90067,0.02234
9.6667,0.91067,0.022042
9.8333,0.9205,0.022581
10,0.93,0.022045
10.167,0.93917,0.0224
10.333,0.94717,0.02286
10.5,0.95433,0.023594
10.667,0.9625,0.022537
10.833,0.96983,0.02264
11,0.975,0.023117
11.167,0.98183,0.021028
11.333,0.9885,0.020579
11.5,0.99317,0.020595
11.667,0.9985,0.020849
11.833,1.0037,0.020588
12,1.0088,0.020634
12.167,1.0113,0.020539
12.333,1.0153,0.020037
12.5,1.0197,0.019806
12.667,1.0223,0.019765
12.833,1.0255,0.019254
13,1.0283,0.018683
13.167,1.031,0.018089
13.333,1.0332,0.019271
13.5,1.0357,0.019593
13.667,1.0388,0.01853
13.833,1.0413,0.018715
14,1.0437,0.017592
14.167,1.0465,0.017986
14.333,1.0482,0.01883
14.5,1.051,0.018676
14.667,1.0533,0.018425
14.833,1.0552,0.018702
15,1.0577,0.017941
15.167,1.0612,0.017893
15.333,1.0635,0.01813
15.5,1.0647,0.017929
15.667,1.0675,0.017852
15.833,1.0698,0.018433
16,1.0728,0.018883
16.167,1.0743,0.018779
16.333,1.077,0.018995
16.5,1.0782,0.019031
16.667,1.0812,0.018904
16.833,1.0835,0.018523
17,1.0858,0.018519
17.167,1.0873,0.019033
17.333,1.0895,0.018971
17.5,1.0922,0.018978
17.667,1.0947,0.018118
17.833,1.0973,0.018457
18,1.0998,0.018476
18.167,1.1015,0.017986
18.333,1.1025,0.018196
18.5,1.1052,0.018302
18.667,1.1065,0.018436
18.833,1.1087,0.018554
19,1.1105,0.018031
19.167,1.1122,0.018498
19.333,1.1127,0.018949
19.5,1.1148,0.018691
19.667,1.1173,0.0185
19.833,1.1183,0.018737
20,1.1193,0.019201
20.167,1.1212,0.019803
20.333,1.1222,0.019783
20.5,1.124,0.019627
20.667,1.125,0.019401
20.833,1.1263,0.020373
21,1.1272,0.020556
21.167,1.1288,0.020183
21.333,1.1303,0.020235
21.5,1.131,0.021606
21.667,1.1315,0.021427
21.833,1.133,0.021429
22,1.1338,0.021582
22.167,1.1352,0.022049
22.333,1.1362,0.022122
22.5,1.1367,0.022133
22.667,1.1377,0.02225
22.833,1.1383,0.022447
23,1.139,0.022636
23.167,1.1402,0.022409
23.333,1.1405,0.023831
23.5,1.1412,0.023276
23.667,1.1425,0.023399
23.833,1.1423,0.023813
